0;Diplomatisches Corps
ROW;Rotenburg/Wümme;NiSa
RPL;Rheinland-Pfalz Landesregierung und Landtag
RS;Remscheid;NrWe
RSL;Rosslau/Elbe;SaAn
RT;Reutlingen;BaWü
RU;Rudolstadt;Thür;a
RÜD;Rheingau-Taunus-Kreis in Rüdesheim;Hess
RÜG;Rügen in Bergen;MeVo
RV;Ravensburg;BaWü
RW;Rottweil;BaWü
RZ;Herzogtum Lauenburg in Ratzeburg;SlHo
S;Stuttgart;BaWü
SAD;Schwandorf;Bayern
SAL;Saarland Landesregierung und Landtag
SAW;Altmarkkreis;Salzwedel;SaAn
SB;Saarbrücken;Saar
SBG;Strasburg;MeVo;a
SBK;Schönebeck/Elbe;SaAn
SC;Schwabach;Bayern
SCZ;Schleiz;Thür;a
SDH;Sondershausen;Thür;a
SDL;Stendal;SaAn
SDT;Schwedt/Oder;Brandenburg;a
SE;Bad Segeberg;SlHo
SEB;Sebnitz;Sachs;a
SEE;Seelow;Brandenburg;a
SFA;Soltau-Fallingbostel;NiSa
SFB;Senftenberg;Brandenburg;a
SFT;Stassfurt;SaAn;a
SG;Solingen;NrWe
SGH;Sangerhausen;SaAn
SH;Schleswig-Holstein Landesregierung und Landtag
SHA;Schwäbisch Hall;BaWü
SHG;Schaumburg in Stadthagen;NiSa
SHK;Saale-Holzlandkreis;Thür
SHL;Suhl;Thür
SI;Siegen;NrWe
SIG;Sigmaringen;BaWü
SIM;Rhein-Hunsrück-Kreis in Simmern;RhPf
SK;Saalkreis in Halle;SaAn
SL;Schleswig-Flensburg;SlHo
SLF;Saalfeld-Rudolstadt;Thür
SLN;Schmölln;Thür;a
SLS;Saarlouis;Saar
SLZ;Bad Salzungen;Thür;a
SM;Schmalkalden-Meiningen;Thür
SN;Schwerin;MeVo
SO;Soest;NrWe
SOK;Saale-Orla-Kreis;Thür
SÖM;Sömmerda;Thür
SON;Sonneberg;Thür
SP;Speyer;RhPf
SPB;Spremberg;Brandenburg;a
SPN;Spree-Neiße;Brandenburg
SR;Straubing-Bogen;Bayern
SRB;Strausberg;Brandenburg;a
SRO;Stadtroda;Thür;a
ST;Steinfurt;NrWe
STA;Starnberg;Bayern
STB;Sternberg;MeVo;a
STD;Stade;NiSa
STL;Stollberg;Sachs
SU;Rhein-Sieg-Kreis in Siegburg;NrWe
SÜW;Südl. Weinstraße in Landau;RhPf
SW;Schweinfurt;Bayern
SZ;Salzgitter;NiSa
SZB;Schwarzenberg;Sachs;a
TBB;Main-Tauber-Kreis in Tauberbischofsheim;BaWü
TET;Teterow;MeVo;a
TF;Teltow-Fläming;Brandenburg
TG;Torgau;Sachs;a
THL;Thüringen Landesregierung und Landtag
TIR;Tirschenreuth;Bayern
TO;Torgau-Oschatz;Sachs
TÖL;Bad Tölz-Wolfratshausen;Bayern
TP;Templin/Uckermark;Brandenburg;a
TR;Trier-Saarburg;RhPf
TS;Traunstein;Bayern
TÜ;Tübingen;BaWü
TUT;Tuttlingen;BaWü
UE;Uelzen;NiSa
UEM;Ueckermünde;MeVo;a
UER;Uecker-Randow;MeVo
UH;Unstrut-Hainich-Kreis;Thür
UL;Alb-Donau-Kreis und Ulm;BaWü
UM;Uckermark;Brandenburg
UN;Unna/Westfalen;NrWe
V;Vogtlandkreis;Plauen;Sachs
VB;Vogelsbergkreis in Lauterbach;Hess
VEC;Vechta;NiSa
VER;Verden/Aller;NiSa
VIE;Viersen;NrWe
VK;Völklingen;Saar
VS;Schwarzwald-Baar-Kreis in Villingen-Schwenningen;BaWü
W;Wuppertal;NrWe
WAF;Warendorf;NrWe
WAK;Wartburgkreis;Thür
WB;Wittenberg;SaAn
WBS;Worbis;Thür;a
WDA;Werdau;Sachs;a
WE;Weimar;Thür
WEN;Weiden/Oberpfalz;Bayern
WES;Wesel in Mörs;NrWe
WF;Wolfenbüttel;NiSa
WHV;Wilhelmshaven;NiSa
WI;Wiesbaden;Hess
WIL;Bernkastel-Wittlich/Mosel;RhPf
WIS;Wismar/Landkreis;MeVo;a
WK;Wittstock;Brandenburg;a
WL;Harburg in Winsen/Luhe;NiSa
WLG;Wolgast/Usedom;MeVo;a
WM;Weilheim-Schongau/OberBayern;Bayern
